"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] [[SINGAPORE]] : The government is extending third-party war risk insurance [[cover]] to the Civil [[Aviation]] Authority of Singapore and SATS Security [[Services]], a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[assurance]] [[scheme]] : The government is extending third-party war risk insurance [[service]] to the Civil [[aviation]] Authority of Singapore and SATS Security [[service]], a unit of the Singapore [[aviation]] group.",0.14984548091888428,0.5867919921875,2,3,2,64,"Successful"
"Sun to shine spotlight on new operating system, Solaris 10 Sun [[Microsystems]] SUNW is expected to release a new version of its operating system today - a [[big]] part of the struggling computer maker #39;s plan to save itself.","Sun to shine spotlight on new operating system, Solaris 10 Sun [[wy]] SUNW is expected to release a new version of its operating system today - a [[likely]] part of the struggling computer maker #39;s plan to save itself.",0.15032309293746948,0.2140592336654663,3,3,3,72,"Failed"
"Fed Cup all tied up [[FRANCE]] #39;S Russian-born Tatiana Golovin left the Fed [[Cup]] final hanging in the balance today as she beat Russia #39;s US [[Open]] champion Svetlana Kuznetsova 6-4, 6-1 to level the tie at [[2-2]] and take it to the final doubles [[match]].","Fed Cup all tied up [[team]] #39;S Russian-born Tatiana Golovin left the Fed [[s]] final hanging in the balance today as she beat Russia #39;s US [[tennis]] champion Svetlana Kuznetsova 6-4, 6-1 to level the tie at [[first]] and take it to the final doubles [[bracket]].",0.11183232069015503,0.1277916431427002,1,1,1,79,"Failed"
"Today in Athens Leontien Zijlaard-van Moorsel of the [[Netherlands]] wipes a tear after winning the gold [[medal]] in the women #39;s road cycling individual time [[trial]] at the Vouliagmeni Olympic Centre in Athens on [[Wednesday]]. ","Today in Athens Leontien Zijlaard-van Moorsel of the [[holland]] wipes a tear after winning the gold [[finish]] in the women #39;s road cycling individual time [[lap]] at the Vouliagmeni Olympic Centre in Athens on [[road]]. ",0.15269684791564941,0.24108052253723145,1,1,1,112,"Failed"
"Mills Grabs \$[[1B]] [[Portfolio]]; [[Taubman]] [[Likely]] to Lose Contracts Mills [[Corp]]. agreed to purchase a 50 percent interest in nine [[malls]] owned by General Motors Asset Management Corp. for just over \$1 [[billion]], [[creating]] a new joint venture between the groups. The deal will extend ...","Mills Grabs \$[[one]] [[portfolio]]; [[company]] [[destined]] to Lose Contracts Mills [[corp]]. agreed to purchase a 50 percent interest in nine [[businesses]] owned by General Motors Asset Management Corp. for just over \$1 [[million]], [[forming]] a new joint venture between the groups. The deal will extend ...",0.13051337003707886,0.17836791276931763,2,2,2,95,"Failed"
"President [[Hu]] [[congratulates]] Sihamoni on becoming king of [[Cambodia]] Chinese President Hu Jintao sent a message to Norodom [[Sihamoni]] on Thursday to congratulate him on his election as the king of Cambodia.","President [[cambodia]] [[welcomed]] Sihamoni on becoming king of [[ceylon]] Chinese President Hu Jintao sent a message to Norodom [[house]] on Thursday to congratulate him on his election as the king of Cambodia.",0.11719900369644165,0.14657533168792725,0,0,0,42,"Failed"
"Govt. to [[Test]] New Air Passenger Screening Program The US [[government]] unveiled plans on Thursday for a revised computer-based [[program]] using personal information to identify airline passengers who may [[pose]] a [[threat]] to air travel.","Govt. to [[oppose]] New Air Passenger Screening Program The US [[n]] unveiled plans on Thursday for a revised computer-based [[curriculum]] using personal information to identify airline passengers who may [[perceive]] a [[menace]] to air travel.",0.18696731328964233,0.5658119916915894,3,2,3,141,"Successful"
"Afghans rocky road to historic elections [[KALAKAN]], Afghanistan There were toothless old men, turbaned and gray-bearded, and [[young]] [[men]] not yet old enough to shave. [[There]] were mullahs and mujahedeen, and the presidential [[candidate]] #39;s 3-year-old son.","Afghans rocky road to historic elections [[iraq]], Afghanistan There were toothless old men, turbaned and gray-bearded, and [[occasional]] [[males]] not yet old enough to shave. [[this]] were mullahs and mujahedeen, and the presidential [[campaign]] #39;s 3-year-old son.",0.11198228597640991,0.11387968063354492,0,0,0,90,"Failed"
"[[Oil]] Prices [[Set]] a New [[Record]] Above \$50  SINGAPORE (Reuters) - Oil [[prices]] [[set]] a new record above \$50  a barrel on Tuesday as a [[prolonged]] [[U]].[[S]]. production outage  following Hurricane Ivan attracted fresh [[speculative]] buying.","[[oil]] Prices [[setting]] a New [[record]] Above \$50  SINGAPORE (Reuters) - Oil [[has]] [[reached]] a new record above \$50  a barrel on Tuesday as a [[new]] [[l]].[[city]]. production outage  following Hurricane Ivan attracted fresh [[american]] buying.",0.11642646789550781,0.12347984313964844,2,2,2,126,"Failed"
"Nokia [[announces]] Near Field Communication products [[With]] the Nokia [[NFC]] (Near Field [[Communication]]) shell on their phone, consumers will be able to [[access]] a variety of services and exchange information with a simple touch gesture.","Nokia [[introduces]] Near Field Communication products [[of]] the Nokia [[nfc]] (Near Field [[mobile]]) shell on their phone, consumers will be able to [[accept]] a variety of services and exchange information with a simple touch gesture.",0.11200499534606934,0.11595076322555542,3,3,3,111,"Failed"
"Phelps [[Seeks]] More Gold at World [[Championships]]  INDIANAPOLIS (Reuters) - Still [[riding]] a wave of euphoria  from the Olympics, [[Michael]] Phelps returns to the pool this week  at the world short course swimming [[championships]] seeking a  [[repeat]] of his six gold medals in Athens.","Phelps [[garnered]] More Gold at World [[sports]]  INDIANAPOLIS (Reuters) - Still [[continuing]] a wave of euphoria  from the Olympics, [[brad]] Phelps returns to the pool this week  at the world short course swimming [[champions]] seeking a  [[total]] of his six gold medals in Athens.",0.11003434658050537,0.11687272787094116,1,1,1,158,"Failed"
