"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk [[insurace]] SINGAPORE : The government is extending third-party war risk [[insuhance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.21851509809494019,0.6790499687194824,2,0,2,36,"Successful"
"[[Mills]] Grabs \$[[1B]] [[Portfolio]]; [[Taubman]] Likely to Lose [[Contracts]] [[Mills]] [[Corp]]. agreed to purchase a [[50]] percent [[interest]] in nine [[malls]] [[owned]] by [[General]] [[Motors]] [[Asset]] Management [[Corp]]. for just over \$1 billion, creating a new [[joint]] venture between the groups. [[The]] deal will extend ...","[[Milsl]] Grabs \$[[B]] [[Portfolo]]; [[Taubmn]] Likely to Lose [[Contract]] [[Milbls]] [[Copr]]. agreed to purchase a [[0]] percent [[Xnterest]] in nine [[malsl]] [[owed]] by [[Generagl]] [[Motosr]] [[AsseG]] Management [[Crop]]. for just over \$1 billion, creating a new [[jobnt]] venture between the groups. [[Teh]] deal will extend ...",0.2078779935836792,0.516581654548645,2,2,2,160,"Failed"
"Sun to shine spotlight on [[new]] [[operating]] system, [[Solaris]] 10 Sun Microsystems [[SUNW]] is expected to release a [[new]] version of its operating system today - a big part of the struggling computer maker #[[39]];s [[plan]] to save itself.","Sun to shine spotlight on [[knew]] [[opertaing]] system, [[Solars]] 10 Sun Microsystems [[SUrW]] is expected to release a [[ne]] version of its operating system today - a big part of the struggling computer maker #[[3c9]];s [[klan]] to save itself.",0.2677844762802124,0.28274399042129517,3,3,3,131,"Failed"
"[[Fed]] [[Cup]] all [[tied]] up [[FRANCE]] #[[39]];S Russian-born Tatiana [[Golovin]] [[left]] the Fed [[Cup]] final hanging in the [[balance]] today as she beat Russia #39;s [[US]] [[Open]] [[champion]] [[Svetlana]] [[Kuznetsova]] [[6-4]], 6-1 to level the tie at 2-2 and take it to the final doubles match.","[[eFd]] [[uCp]] all [[tid]] up [[FRANqCE]] #[[F9]];S Russian-born Tatiana [[Gloovin]] [[let]] the Fed [[Crp]] final hanging in the [[bulance]] today as she beat Russia #39;s [[SU]] [[Ope]] [[cghampion]] [[SvetlaGna]] [[KuznetsoDa]] [[L-4]], 6-1 to level the tie at 2-2 and take it to the final doubles match.",0.1351708173751831,0.16398292779922485,1,1,1,162,"Failed"
"[[Nokia]] announces Near [[Field]] Communication products With the [[Nokia]] [[NFC]] (Near [[Field]] [[Communication]]) shell on their phone, consumers will be [[able]] to [[access]] a [[variety]] of [[services]] and [[exchange]] [[information]] with a simple [[touch]] gesture.","[[Nokina]] announces Near [[Filed]] Communication products With the [[Nokai]] [[NCF]] (Near [[ield]] [[Communicatoin]]) shell on their phone, consumers will be [[abe]] to [[accJess]] a [[vaEiety]] of [[seNrvices]] and [[exchagne]] [[ifnormation]] with a simple [[tuoch]] gesture.",0.22041362524032593,0.31033891439437866,3,3,3,120,"Failed"
"Today in Athens [[Leontien]] [[Zijlaard-van]] [[Moorsel]] of the [[Netherlands]] wipes a tear after winning the [[gold]] medal in the women #[[39]];s road [[cycling]] [[individual]] [[time]] [[trial]] at the Vouliagmeni Olympic [[Centre]] in Athens on [[Wednesday]]. ","Today in Athens [[LeontiOen]] [[Zijlaaru-van]] [[fMoorsel]] of the [[KNetherlands]] wipes a tear after winning the [[golr]] medal in the women #[[3r9]];s road [[cylcing]] [[indvidual]] [[thme]] [[trail]] at the Vouliagmeni Olympic [[Cnetre]] in Athens on [[WednesdaBy]]. ",0.14825475215911865,0.616844117641449,1,3,1,72,"Successful"
"[[President]] [[Hu]] [[congratulates]] [[Sihamoni]] on [[becoming]] king of [[Cambodia]] Chinese President [[Hu]] Jintao [[sent]] a message to [[Norodom]] [[Sihamoni]] on Thursday to [[congratulate]] him on his election as the [[king]] of [[Cambodia]].","[[Presidnet]] [[H]] [[congartulates]] [[Sihazoni]] on [[ecoming]] king of [[XCambodia]] Chinese President [[u]] Jintao [[snt]] a message to [[Nroodom]] [[SCihamoni]] on Thursday to [[cnogratulate]] him on his election as the [[ing]] of [[Cambkodia]].",0.21319657564163208,0.8785229921340942,0,3,0,73,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.7482227087020874,0.7482227087020874,2,2,3,1,"Skipped"
"Afghans rocky road to [[historic]] elections KALAKAN, [[Afghanistan]] [[There]] were toothless old [[men]], [[turbaned]] and gray-bearded, and young [[men]] not yet [[old]] enough to shave. [[There]] were [[mullahs]] and [[mujahedeen]], and the [[presidential]] [[candidate]] #[[39]];s 3-year-old son.","Afghans rocky road to [[hsitoric]] elections KALAKAN, [[Afgahnistan]] [[Thert]] were toothless old [[mn]], [[utrbaned]] and gray-bearded, and young [[mn]] not yet [[odl]] enough to shave. [[hTere]] were [[muIllahs]] and [[mujaDhedeen]], and the [[presidetnial]] [[candidxate]] #[[3E9]];s 3-year-old son.",0.21854418516159058,0.3257889747619629,0,0,0,134,"Failed"
"[[Oil]] [[Prices]] Set a [[New]] Record [[Above]] \$[[50]]  SINGAPORE (Reuters) - [[Oil]] prices set a new record above \$50  a barrel on [[Tuesday]] as a prolonged U.S. [[production]] outage  [[following]] Hurricane Ivan [[attracted]] fresh speculative buying.","[[Oli]] [[rices]] Set a [[nNew]] Record [[Abovp]] \$[[0]]  SINGAPORE (Reuters) - [[il]] prices set a new record above \$50  a barrel on [[TuesdWy]] as a prolonged U.S. [[proxuction]] outage  [[folloiwng]] Hurricane Ivan [[attracetd]] fresh speculative buying.",0.19328409433364868,0.920566737651825,2,3,2,74,"Successful"
