"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war risk insurance SINGAPORE : The [[government]] is extending third-party war risk insurance cover to the [[Civil]] [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk insurance SINGAPORE : The [[goveⲅnment]] is extending third-party war risk insurance cover to the [[Cіvil]] [[Aviatіon]] Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",0.38463151454925537,0.6582316160202026,2,1,2,70,"Successful"
"Mills Grabs \$1B Portfolio; [[Taubman]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 [[billion]], creating a new joint venture between the groups. The deal will [[extend]] ...","Mills Grabs \$1B Portfolio; [[Taubmɑn]] Likely to Lose Contracts Mills Corp. agreed to purchase a 50 percent interest in nine malls owned by General Motors Asset Management Corp. for just over \$1 [[billioո]], creating a new joint venture between the groups. The deal will [[exteոd]] ...",0.30693620443344116,0.6913558840751648,2,1,2,62,"Successful"
"Sun to shine spotlight on new operating system, Solaris 10 [[Sun]] Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.","Sun to shine spotlight on new operating system, Solaris 10 [[S]] [[un]] Microsystems SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",0.5339096784591675,0.7965983152389526,3,2,3,31,"Successful"
"Fed Cup all tied up FRANCE #[[39]];S Russian-born [[Tatiana]] Golovin [[left]] the [[Fed]] Cup final hanging in the [[balance]] today as she [[beat]] [[Russia]] #[[39]];s US Open champion Svetlana Kuznetsova [[6-4]], 6-1 to level the [[tie]] at [[2-2]] and [[take]] it to the final [[doubles]] match.","Fed Cup all tied up FRANCE #[[3৭]];S Russian-born [[Ta𝚝iana]] Golovin [[lef𝚝]] the [[Feԁ]] Cup final hanging in the [[balanϲe]] today as she [[bea𝚝]] [[Rusѕia]] #[[3৭]];s US Open champion Svetlana Kuznetsova [[6-Ꮞ]], 6-1 to level the [[𝚝ie]] at [[2-ᒿ]] and [[ta𝒌e]] it to the final [[dou]] [[bles]] match.",0.41000550985336304,0.465389609336853,1,1,1,221,"Failed"
"[[Nokia]] [[announces]] Near Field Communication products [[With]] the Nokia NFC (Near Field Communication) [[shell]] on their phone, consumers will be able to access a [[variety]] of [[services]] and exchange information with a simple touch [[gesture]].","[[No𝒌ia]] [[announcеs]] Near Field Communication products [[Wi𝚝h]] the Nokia NFC (Near Field Communication) [[shelⅼ]] on their phone, consumers will be able to access a [[variеty]] of [[servicеs]] and exchange information with a simple touch [[gestuⲅe]].",0.42987704277038574,0.49196404218673706,3,3,3,236,"Failed"
"Today in Athens Leontien Zijlaard-van [[Moorsel]] of the Netherlands [[wipes]] a tear after winning the [[gold]] medal in the [[women]] #[[39]];s road cycling [[individual]] time trial at the Vouliagmeni Olympic Centre in Athens on Wednesday. ","Today in Athens Leontien Zijlaard-van [[Moоrsel]] of the Netherlands [[wіpes]] a tear after winning the [[glod]] medal in the [[woｍen]] #[[3৭]];s road cycling [[individuɑl]] time trial at the Vouliagmeni Olympic Centre in Athens on Wednesday. ",0.4527125358581543,0.6794952154159546,1,2,1,88,"Successful"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.8646165728569031,0.8646165728569031,2,2,3,1,"Skipped"
"Afghans rocky [[road]] to [[historic]] [[elections]] KALAKAN, [[Afghanistan]] There were toothless old men, turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the presidential candidate #39;s 3-year-old son.","Afghans rocky [[roɑd]] to [[historіc]] [[eletcions]] KALAKAN, [[Afgհanistan]] There were toothless old men, turbaned and gray-bearded, and young men not yet old enough to shave. There were mullahs and mujahedeen, and the presidential candidate #39;s 3-year-old son.",0.15164345502853394,0.5356829166412354,0,3,0,71,"Successful"
"Oil Prices Set a New Record Above \$50  SINGAPORE (Reuters) - [[Oil]] prices set a new [[record]] above \$50  a barrel on [[Tuesday]] as a [[prolonged]] U.S. production outage  following Hurricane Ivan [[attracted]] [[fresh]] [[speculative]] [[buying]].","Oil Prices Set a New Record Above \$50  SINGAPORE (Reuters) - [[Ol]] prices set a new [[recorԁ]] above \$50  a barrel on [[Tuesԁay]] as a [[prolongeԁ]] U.S. production outage  following Hurricane Ivan [[attrɑcted]] [[freѕh]] [[specսlative]] [[buiyng]].",0.48505663871765137,0.6383108496665955,2,1,2,171,"Successful"
"Sun's [[Looking]] Glass [[Provides]] 3D View Developers get [[early]] code for new [[operating]] system 'skin' [[still]] being crafted.","Sun's [[Loo𝒌ing]] Glass [[Provies]] 3D View Developers get [[erly]] code for new [[operatng]] system 'skin' [[stil]] being crafted.",0.4354233741760254,0.4873465299606323,3,3,3,133,"Failed"
