"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"Singapore govt extends third-party war [[risk]] insurance SINGAPORE : The [[government]] is [[extending]] third-party [[war]] [[risk]] insurance [[cover]] to the [[Civil]] [[Aviation]] [[Authority]] of Singapore and SATS Security [[Services]], a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war [[jeopardy]] insurance SINGAPORE : The [[politics]] is [[expand]] third-party [[warfare]] [[jeopardy]] insurance [[binding]] to the [[civil]] [[air]] [[bureau]] of Singapore and SATS Security [[Service]], a unit of the Singapore [[airline]] group.",0.23909735679626465,0.7098790407180786,2,0,2,292,"Successful"
"Mills [[Grabs]] \$1B Portfolio; Taubman Likely to Lose [[Contracts]] [[Mills]] Corp. agreed to purchase a 50 percent interest in nine malls owned by [[General]] Motors Asset Management Corp. for just over \$1 [[billion]], creating a [[new]] [[joint]] venture between the groups. The [[deal]] will [[extend]] ...","Mills [[snaffle]] \$1B Portfolio; Taubman Likely to Lose [[compact]] [[Mill]] Corp. agreed to purchase a 50 percent interest in nine malls owned by [[ecumenical]] Motors Asset Management Corp. for just over \$1 [[million]], creating a [[novel]] [[junction]] venture between the groups. The [[stack]] will [[run]] ...",0.05627089738845825,0.8510000705718994,2,3,2,444,"Successful"
"Sun to shine [[spotlight]] on new [[operating]] system, Solaris [[10]] Sun Microsystems SUNW is expected to release a new version of its operating system today - a [[big]] part of the struggling computer maker #39;s plan to save itself.","Sun to shine [[spot]] on new [[manoeuver]] system, Solaris [[decade]] Sun Microsystems SUNW is expected to release a new version of its operating system today - a [[self-aggrandising]] part of the struggling computer maker #39;s plan to save itself.",0.26686549186706543,0.7777020335197449,3,0,3,340,"Successful"
"[[Fed]] Cup all tied up [[FRANCE]] #39;[[S]] Russian-born Tatiana Golovin [[left]] the [[Fed]] [[Cup]] [[final]] hanging in the [[balance]] today as she [[beat]] [[Russia]] #39;s US [[Open]] [[champion]] Svetlana Kuznetsova 6-4, 6-1 to [[level]] the tie at 2-2 and [[take]] it to the final doubles match.","[[feed]] Cup all tied up [[France]] #39;[[second]] Russian-born Tatiana Golovin [[unexpended]] the [[feast]] [[cup]] [[concluding]] hanging in the [[Balance]] today as she [[mystify]] [[USSR]] #39;s US [[capable]] [[superstar]] Svetlana Kuznetsova 6-4, 6-1 to [[tied]] the tie at 2-2 and [[accept]] it to the final doubles match.",0.14923912286758423,0.26671916246414185,1,1,1,758,"Failed"
"Nokia [[announces]] [[Near]] [[Field]] [[Communication]] [[products]] With the Nokia NFC ([[Near]] [[Field]] [[Communication]]) [[shell]] on their phone, [[consumers]] will be able to [[access]] a [[variety]] of [[services]] and [[exchange]] [[information]] with a [[simple]] [[touch]] gesture.","Nokia [[announce]] [[close]] [[study]] [[communicating]] [[production]] With the Nokia NFC ([[nigh]] [[plain]] [[communication]]) [[scale]] on their phone, [[consumer]] will be able to [[accession]] a [[form]] of [[help]] and [[central]] [[data]] with a [[bare]] [[contact]] gesture.",0.22843408584594727,0.3712999224662781,3,3,3,417,"Failed"
"Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[tear]] after winning the gold medal in the women #[[39]];s road [[cycling]] individual time trial at the Vouliagmeni Olympic Centre in Athens on Wednesday. ","Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a [[displume]] after winning the gold medal in the women #[[thirty-nine]];s road [[cycle]] individual time trial at the Vouliagmeni Olympic Centre in Athens on Wednesday. ",0.18157750368118286,0.7649171948432922,1,3,1,159,"Successful"
"[[President]] Hu congratulates Sihamoni on becoming [[king]] of [[Cambodia]] Chinese [[President]] Hu Jintao [[sent]] a [[message]] to Norodom Sihamoni on Thursday to [[congratulate]] him on his election as the [[king]] of [[Cambodia]].","[[prexy]] Hu congratulates Sihamoni on becoming [[queen]] of [[Kampuchea]] Chinese [[chair]] Hu Jintao [[beam]] a [[substance]] to Norodom Sihamoni on Thursday to [[felicitate]] him on his election as the [[queen]] of [[Kampuchea]].",0.15804064273834229,0.5044974684715271,0,0,0,167,"Failed"
"Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.","Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised computer-based program using personal information to identify airline passengers who may pose a threat to air travel.",0.8430730104446411,0.8430730104446411,2,2,3,1,"Skipped"
"Afghans [[rocky]] road to [[historic]] elections KALAKAN, Afghanistan There were toothless [[old]] [[men]], turbaned and gray-bearded, and [[young]] [[men]] not [[yet]] [[old]] enough to shave. [[There]] were [[mullahs]] and [[mujahedeen]], and the presidential candidate #39;s 3-year-old [[son]].","Afghans [[rough]] road to [[historical]] elections KALAKAN, Afghanistan There were toothless [[sometime]] [[world]], turbaned and gray-bearded, and [[new]] [[homo]] not [[notwithstanding]] [[sometime]] enough to shave. [[there]] were [[Mulla]] and [[mujahadeen]], and the presidential candidate #39;s 3-year-old [[boy]].",0.10843503475189209,0.37241220474243164,0,0,0,272,"Failed"
"Oil [[Prices]] [[Set]] a [[New]] [[Record]] Above \$50  SINGAPORE (Reuters) - [[Oil]] [[prices]] [[set]] a [[new]] [[record]] above \$50  a barrel on Tuesday as a [[prolonged]] [[U]].S. [[production]] outage  [[following]] [[Hurricane]] Ivan attracted fresh [[speculative]] [[buying]].","Oil [[terms]] [[fixed]] a [[newly]] [[disk]] Above \$50  SINGAPORE (Reuters) - [[crude]] [[damage]] [[sic]] a [[novel]] [[enter]] above \$50  a barrel on Tuesday as a [[sustain]] [[u]].S. [[yield]] outage  [[survey]] [[hurricane]] Ivan attracted fresh [[questioning]] [[bribe]].",0.27331769466400146,0.38453829288482666,2,2,2,596,"Failed"
