original_text,perturbed_text,label
"Sun to shine spotlight on new operating system, Solaris 10 Sun [[Microsystems]] SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.","Sun to shine spotlight on new operating system, Solaris 10 Sun [[Maicrosystems]] SUNW is expected to release a new version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",3
Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after winning the gold medal in the women #39;s road cycling individual time trial at the [[Vouliagmeni]] Olympic Centre in Athens on Wednesday. ,Today in Athens Leontien Zijlaard-van Moorsel of the Netherlands wipes a tear after winning the gold medal in the women #39;s road cycling individual time trial at the [[Vouliagemni]] Olympic Centre in Athens on Wednesday. ,1
President Hu congratulates Sihamoni on becoming king of [[Cambodia]] Chinese President Hu Jintao sent a message to Norodom Sihamoni on Thursday to congratulate him on his election as the king of Cambodia.,President Hu congratulates Sihamoni on becoming king of [[Cambodai]] Chinese President Hu Jintao sent a message to Norodom Sihamoni on Thursday to congratulate him on his election as the king of Cambodia.,0
"Phelps Seeks More Gold at World Championships  INDIANAPOLIS (Reuters) - Still riding a wave of euphoria  from the Olympics, Michael Phelps returns to the pool this week  at the world short course swimming championships [[seeking]] a  repeat of his six gold medals in Athens.","Phelps Seeks More Gold at World Championships  INDIANAPOLIS (Reuters) - Still riding a wave of euphoria  from the Olympics, Michael Phelps returns to the pool this week  at the world short course swimming championships [[seLeking]] a  repeat of his six gold medals in Athens.",1
"US suspends helicopter flights after Japan crash ([[AFP]]) AFP - The United States suspended flights of CH-53D military helicopters in Japan, bowing to protests over a crash in an Okinawa university campus.","US suspends helicopter flights after Japan crash ([[AFc]]) AFP - The United States suspended flights of CH-53D military helicopters in Japan, bowing to protests over a crash in an Okinawa university campus.",0
"Viacom, Disney pay \$1.5M [[FCC]] fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television networks violated [[advertising]] restrictions, the [[FCC]] [[said]] Thursday.","Viacom, Disney pay \$1.5M [[CC]] fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable television networks violated [[advertisjng]] restrictions, the [[FC]] [[aid]] Thursday.",2
"Protests in Canada over Ukraine crisis ([[AFP]]) [[AFP]] - Hundreds of Canadians, many of Ukrainian descent, [[braved]] freezing temperatures to protest what they consider to be the fixed outcome of the Ukrainian presidential election.","Protests in Canada over Ukraine crisis ([[AFQP]]) [[AFkP]] - Hundreds of Canadians, many of Ukrainian descent, [[brvaed]] freezing temperatures to protest what they consider to be the fixed outcome of the Ukrainian presidential election.",0
"HD DVD will boost quality, help stores Four Hollywood studios this week [[embraced]] a new high-definition DVD format from electronics giant Toshiba - raising [[many]] questions for video lovers who have driven sales of pre-recorded DVDs to [[new]] heights.","HD DVD will boost quality, help stores Four Hollywood studios this week [[enmbraced]] a new high-definition DVD format from electronics giant Toshiba - raising [[may]] questions for video lovers who have driven sales of pre-recorded DVDs to [[neew]] heights.",3
"EC presses for safer internet The EU Telecommunications Council today today launched Safer [[Internet]] Plus, a scheme to help parents and teachers control what children [[view]] online.","EC presses for safer internet The EU Telecommunications Council today today launched Safer [[Internt]] Plus, a scheme to help parents and teachers control what children [[vdew]] online.",3
Iraq: 26 killed on horrific day of violence Suicide bombers killed at least 22 members of Iraq #39;s fledgling security forces yesterday amid a spate of [[insurgent]] attacks across the country that also ,Iraq: 26 killed on horrific day of violence Suicide bombers killed at least 22 members of Iraq #39;s fledgling security forces yesterday amid a spate of [[insurgnt]] attacks across the country that also ,0
Pakistan collapses at the WACA Opener [[Justin]] Langer was last out after a glorious innings of 191 as Australia totaled 381 on the second morning of the [[first]] test against Pakistan in [[Perth]] on Friday.,Pakistan collapses at the WACA Opener [[Jusjtin]] Langer was last out after a glorious innings of 191 as Australia totaled 381 on the second morning of the [[fist]] test against Pakistan in [[PeRrth]] on Friday.,1
"Signing of Teenage Racer Raises Questions (AP) AP - Next October, Chase Austin will finally be old enough to drive to the grocery store by himself. By then, though, [[he'll]] also have a full season of stock car racing under his belt.","Signing of Teenage Racer Raises Questions (AP) AP - Next October, Chase Austin will finally be old enough to drive to the grocery store by himself. By then, though, [[hae'll]] also have a full season of stock car racing under his belt.",1
Toyota confirms signing of Italian driver Jarni Trulli from [[Sauber]] Toyota confirmed Thursday that Jarno Trulli will drive for the Formula One team starting next season. The Italian signed a two-year contract two days ago and will partner German driver ,Toyota confirms signing of Italian driver Jarni Trulli from [[Saber]] Toyota confirmed Thursday that Jarno Trulli will drive for the Formula One team starting next season. The Italian signed a two-year contract two days ago and will partner German driver ,1
The Next Giant Leap Rendezvous quot; for the docking techniques he developed while at MIT [[earning]] his PhD in astronautics. Lessig: Technology over ideology!,The Next Giant Leap Rendezvous quot; for the docking techniques he developed while at MIT [[arning]] his PhD in astronautics. Lessig: Technology over ideology!,3
"Broncos DT Elliss Out for the Season  ENGLEWOOD, Colo. (Sports Network) - Veteran defensive  tackle Luther Elliss of the Denver Broncos will miss the  remainder of the season because of a herniated [[disk]] in his  lower back.","Broncos DT Elliss Out for the Season  ENGLEWOOD, Colo. (Sports Network) - Veteran defensive  tackle Luther Elliss of the Denver Broncos will miss the  remainder of the season because of a herniated [[diks]] in his  lower back.",1
"Photo gallery: Bill [[Gates']] home on Lake Washington [[Webshots]] users offer their photos of Bill Gates mansion in Medina, Wash.","Photo gallery: Bill [[Gatse']] home on Lake Washington [[Wbeshots]] users offer their photos of Bill Gates mansion in Medina, Wash.",3
Surrey poised to sign Harbhajan Surrey are waiting for approval from the Board of Control for [[Cricket]] in India before [[announcing]] Harbhajan Singh as an overseas signing for [[2005]].,Surrey poised to sign Harbhajan Surrey are waiting for approval from the Board of Control for [[ricket]] in India before [[announcipng]] Harbhajan Singh as an overseas signing for [[005]].,1
"Notes: Two-strike, two-out blues Chicago Cubs manager Dusty Baker talked to LaTroy Hawkins on Thursday, and said he #39;ll [[go]] to the [[right-hander]] again if the team is in a save situation.","Notes: Two-strike, two-out blues Chicago Cubs manager Dusty Baker talked to LaTroy Hawkins on Thursday, and said he #39;ll [[g]] to the [[riught-hander]] again if the team is in a save situation.",1
US [[MNT]] Streaking Into Final Round The US [[mens]] national team will look to extend their record unbeaten streak to 13 matches when the take on Jamaica at Columbus Crew Stadium in its final match of semifinal-round qualifying for the 2006 FIFA World Cup.,US [[NT]] Streaking Into Final Round The US [[mns]] national team will look to extend their record unbeaten streak to 13 matches when the take on Jamaica at Columbus Crew Stadium in its final match of semifinal-round qualifying for the 2006 FIFA World Cup.,1
UN Refugee Chief Backs Autonomy for Sudan #39;s [[Darfur]] Region The United Nations High Commissioner for Refugees says granting more autonomy to southern Sudan could help end the bloody conflict there.,UN Refugee Chief Backs Autonomy for Sudan #39;s [[DarfCur]] Region The United Nations High Commissioner for Refugees says granting more autonomy to southern Sudan could help end the bloody conflict there.,0
"Dog Extinctions Show Why Bigger Isn #39;t Better Fossils from [[extinct]] dogs show why bigger is not better -- giant meat-eating animals died out because they relied too heavily on hunting other big animals, scientists reported on Thursday.","Dog Extinctions Show Why Bigger Isn #39;t Better Fossils from [[extrinct]] dogs show why bigger is not better -- giant meat-eating animals died out because they relied too heavily on hunting other big animals, scientists reported on Thursday.",3
MPAA [[widens]] piracy net Hollywood studios launched legal attacks Tuesday on the computer server operators they claim are the technological middlemen making online film theft possible.,MPAA [[wiQdens]] piracy net Hollywood studios launched legal attacks Tuesday on the computer server operators they claim are the technological middlemen making online film theft possible.,3
"[[Dominicans']] Swift Step Into Crisis SANTO DOMINGO, Dominican Republic -- When Sandro Batista smashed his banana truck into a tree in April, leaving him with two hideously shattered legs and a broken arm, his orthopedic surgeon sent his sister shopping.","[[Dominicans]] Swift Step Into Crisis SANTO DOMINGO, Dominican Republic -- When Sandro Batista smashed his banana truck into a tree in April, leaving him with two hideously shattered legs and a broken arm, his orthopedic surgeon sent his sister shopping.",2
Federal [[CISOs]] Rank Patch Management As Biggest Obstacle Survey by Intelligent Decisions indicates that patch management leaves less time for chief information security officers to work on improving overall security.,Federal [[CBISOs]] Rank Patch Management As Biggest Obstacle Survey by Intelligent Decisions indicates that patch management leaves less time for chief information security officers to work on improving overall security.,2
"Iraq video shows '[[hostage]] [[deaths']] A video is released which apparently shows the killing of  two hostages in Iraq, while two others are released.","Iraq video shows '[[hosatge]] [[deatsh']] A video is released which apparently shows the killing of  two hostages in Iraq, while two others are released.",0
US stocks: Market drops as [[insurers]] #39; woes offset IBM NEW YORK - US stocks fell on Tuesday as health [[insurers]] #39; shares slid on [[worries]] that the New York attorney general #39;s probe will hit the entire industry.,US stocks: Market drops as [[nisurers]] #39; woes offset IBM NEW YORK - US stocks fell on Tuesday as health [[insurLrs]] #39; shares slid on [[worwies]] that the New York attorney general #39;s probe will hit the entire industry.,2
