original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance [[SINGAPORE]] : The government is extending third-party war risk insurance cover to the Civil [[Aviation]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk insurance [[package]] : The government is extending third-party war risk insurance cover to the Civil [[aircraft]] Authority of Singapore and SATS Security Services, a unit of the Singapore [[airport]] group.",2
Malaysia #39;s Anwar Returns to Hero #39;s Welcome Malaysia #39;s former deputy prime [[minister]] Anwar Ibrahim has come home to a rock star #39;s welcome Sunday. He returned from undergoing back surgery in Germany following his release from prison last month.,Malaysia #39;s Anwar Returns to Hero #39;s Welcome Malaysia #39;s former deputy prime [[mr]] Anwar Ibrahim has come home to a rock star #39;s welcome Sunday. He returned from undergoing back surgery in Germany following his release from prison last month.,0
"Alamosa Offers to Buy AirGate ([[Reuters]]) [[Reuters]] - Alamosa Holdings Inc.  said\on Monday it made an unsolicited bid for AirGate PCS Inc.\ worth about  #36;380 million, which would create one of\the largest sellers of wireless telephone service under the\Sprint  brand.","Alamosa Offers to Buy AirGate ([[reuters]]) [[reuters]] - Alamosa Holdings Inc.  said\on Monday it made an unsolicited bid for AirGate PCS Inc.\ worth about  #36;380 million, which would create one of\the largest sellers of wireless telephone service under the\Sprint  brand.",3
"US Airways to [[Alter]] Flights [[US]] Airways [[said]] it will change its flight schedules in February to increase departures at its Charlotte and [[Philadelphia]] hubs and create a mini-hub in Fort Lauderdale, Fla.","US Airways to [[change]] Flights [[usa]] Airways [[announcement]] it will change its flight schedules in February to increase departures at its Charlotte and [[philadelphia]] hubs and create a mini-hub in Fort Lauderdale, Fla.",2
"[[Lebanon]] and [[Syria]] have not [[complied]] with [[UN]] resolution: Annan UNITED NATIONS - Secretary-General Kofi Annan [[reported]] that Syria has not [[pulled]] its forces out of Lebanon as called for by the UN Security Council, and said he had requested a timetable from Damascus for its full implementation.","[[lebanon]] and [[syria]] have not [[disagreed]] with [[council]] resolution: Annan UNITED NATIONS - Secretary-General Kofi Annan [[complained]] that Syria has not [[transported]] its forces out of Lebanon as called for by the UN Security Council, and said he had requested a timetable from Damascus for its full implementation.",0
"Hurricanes soak [[Knight]] Ridder #39;s 3Q Knight Ridder Inc., publisher of the Miami Herald and the Philadelphia [[Inquirer]], [[said]] [[third-quarter]] earnings will miss Wall Street estimates due to the impact of three recent [[hurricanes]] on its Florida newspapers.","Hurricanes soak [[star]] Ridder #39;s 3Q Knight Ridder Inc., publisher of the Miami Herald and the Philadelphia [[reporter]], [[claimed]] [[american]] earnings will miss Wall Street estimates due to the impact of three recent [[storms]] on its Florida newspapers.",2
PeopleSoft customers reassured Oracle Corp. President Charles Phillips on Monday [[said]] PeopleSoft Inc. customers have become more comfortable with the prospect of a [[merger]] between the two software firms even as the proposed transaction awaits a critical ruling from a Delaware court.,PeopleSoft customers reassured Oracle Corp. President Charles Phillips on Monday [[stated]] PeopleSoft Inc. customers have become more comfortable with the prospect of a [[merging]] between the two software firms even as the proposed transaction awaits a critical ruling from a Delaware court.,2
"Study: 39 Million [[Americans]] [[In]] Working Poor [[Families]] WASHINGTON -- A new report indicates that one in every five US jobs [[pays]] less than a poverty-level wage for a family of four. [[As]] a [[result]], [[nearly]] 39 million Americans, including 20 million children, are [[members]] ","Study: 39 Million [[americans]] [[in]] Working Poor [[home]] WASHINGTON -- A new report indicates that one in every five US jobs [[get]] less than a poverty-level wage for a family of four. [[of]] a [[consequence]], [[approximately]] 39 million Americans, including 20 million children, are [[[UNK]]] ",2
[[Shares]] of Video Game Makers Rise Sharply Shares of video game makers rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.,[[levels]] of Video Game Makers Rise Sharply Shares of video game makers rose sharply Friday after analysts reported industry sales increased 11 percent last month due mainly to the strength of two blockbuster titles that have proven to be the holiday season #39;s biggest sellers.,2
"[[US]] Airways Pilots Approve 18 Pay Cut Five-year, \$1.8 billion cost-cutting contract approved Thursday also reduces retirement benefits, increases work hours and eliminates retiree medical [[coverage]].","[[world]] Airways Pilots Approve 18 Pay Cut Five-year, \$1.8 billion cost-cutting contract approved Thursday also reduces retirement benefits, increases work hours and eliminates retiree medical [[care]].",2
