original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk [[insurance]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk [[insuracne]] cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"Fed [[Cup]] all tied up FRANCE #[[39]];S [[Russian-born]] [[Tatiana]] [[Golovin]] [[left]] the [[Fed]] [[Cup]] final [[hanging]] in the balance today as she beat Russia #39;s US [[Open]] [[champion]] Svetlana Kuznetsova [[6-4]], [[6-1]] to level the tie at [[2-2]] and take it to the final doubles match.","Fed [[Cuр]] all tied up FRANCE #[[3৭]];S [[Russian-boⲅn]] [[Tatiaոa]] [[Golovіn]] [[lef𝚝]] the [[Feԁ]] [[Cuр]] final [[hangiոg]] in the balance today as she beat Russia #39;s US [[Opn]] [[chaｍpion]] Svetlana Kuznetsova [[б-4]], [[б-1]] to level the tie at [[2]] -[[2]] and take it to the final doubles match.",1
Today in Athens Leontien [[Zijlaard-van]] [[Moorsel]] of the Netherlands wipes a [[tear]] after winning the [[gold]] medal in the women #39;s road [[cycling]] [[individual]] [[time]] [[trial]] at the Vouliagmeni [[Olympic]] [[Centre]] in Athens on [[Wednesday]]. ,Today in Athens Leontien [[Zijlaard˗van]] [[Moоrsel]] of the Netherlands wipes a [[teɑr]] after winning the [[golԁ]] medal in the women #39;s road [[cycⅼing]] [[indiivdual]] [[tіme]] [[trail]] at the Vouliagmeni [[Olympiϲ]] [[Cеntre]] in Athens on [[Wednеsday]]. ,1
"US suspends [[helicopter]] flights after [[Japan]] [[crash]] (AFP) [[AFP]] - [[The]] United [[States]] [[suspended]] [[flights]] of [[CH-53D]] [[military]] helicopters in [[Japan]], bowing to protests over a crash in an Okinawa university campus.","US suspends [[helcopter]] flights after [[Japaո]] [[crasհ]] (AFP) [[AP]] - [[T]] [[he]] United [[Sttaes]] [[suspеnded]] [[flightѕ]] of [[CH-Ƽ3D]] [[miltary]] helicopters in [[J]] [[apan]], bowing to protests over a crash in an Okinawa university campus.",0
"[[Anniversary]] [[remembered]] on [[game]] day When the attacks came on Sept. 11, 2001, [[Tom]] [[O'Brien]], if only for a [[moment]], [[stopped]] being Boston College's [[coach]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","[[Anniversaⲅy]] [[remembereԁ]] on [[ɡame]] day When the attacks came on Sept. 11, 2001, [[Toｍ]] [[O'Bⲅien]], if only for a [[momen𝚝]], [[sto]] [[pped]] being Boston College's [[coaϲh]]. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"[[Viacom]], Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[39]];s [[cable]] [[television]] [[networks]] violated advertising [[restrictions]], the [[FCC]] [[said]] Thursday.","[[Vicom]], Disney pay \$1.5M FCC fine Disney and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #[[3৭]];s [[cabⅼe]] [[televiѕion]] [[networs]] violated advertising [[restrictioոs]], the [[FC]] [[sa]] [[id]] Thursday.",2
[[Pfizer]] Sends Out Update On [[Drug]] [[Bextra]] Pfizer [[Inc]]. said Friday that it will provide [[health-care]] professionals with additional information about its [[Bextra]] arthritis drug and that it will conduct further studies to confirm the drug #[[39]];s long-term [[cardiovascular]] safety record.,[[Pfizeⲅ]] Sends Out Update On [[Durg]] [[Be×tra]] Pfizer [[Iոc]]. said Friday that it will provide [[health-cɑre]] professionals with additional information about its [[Bextⲅa]] arthritis drug and that it will conduct further studies to confirm the drug #[[3৭]];s long-term [[cardiоvascular]] safety record.,2
"Restive [[Maldives]] eases curfew after rounding up dissidents ([[AFP]]) AFP - A curfew in the capital of the [[Maldives]] was eased but parliament sessions were put off indefinitely and [[emergency]] rule continued [[following]] last [[week's]] [[riots]], [[officials]] and residents said.","Restive [[Maldivеs]] eases curfew after rounding up dissidents ([[A]] [[FP]]) AFP - A curfew in the capital of the [[Mɑldives]] was eased but parliament sessions were put off indefinitely and [[emergeոcy]] rule continued [[fololwing]] last [[wеek's]] [[riotѕ]], [[offіcials]] and residents said.",0
"PeopleSoft CEO Ousted for  #39;Situational Ethics #39; AccountingWEB.com - October 06, 2004 - The opening of a trial related to Oracle #39;s takeover bid of PeopleSoft featured the revelation that [[CEO]] Craig Conway was fired last week for making misleading statements about PeopleSoft #39;s sales.","PeopleSoft CEO Ousted for  #39;Situational Ethics #39; AccountingWEB.com - October 06, 2004 - The opening of a trial related to Oracle #39;s takeover bid of PeopleSoft featured the revelation that [[CO]] Craig Conway was fired last week for making misleading statements about PeopleSoft #39;s sales.",2
Qualcomm Raises Earnings Forecast Qualcomm [[Inc]]. on Friday raised its quarterly profit forecast due to strong demand for its mobile phone technology. The San Diego company said it expects earnings per ,Qualcomm Raises Earnings Forecast Qualcomm [[Inϲ]]. on Friday raised its quarterly profit forecast due to strong demand for its mobile phone technology. The San Diego company said it expects earnings per ,2
