original_text,perturbed_text,label
"Singapore govt extends third-party war risk [[insurance]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[Airlines]] group.","Singapore govt extends third-party war risk [[insurace]] SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore [[irlines]] group.",2
"[[Mills]] [[Grabs]] \$[[1B]] [[Portfolio]]; Taubman Likely to Lose Contracts [[Mills]] [[Corp]]. agreed to [[purchase]] a [[50]] [[percent]] interest in [[nine]] malls owned by General Motors [[Asset]] [[Management]] Corp. for just over \$1 [[billion]], creating a [[new]] [[joint]] venture between the groups. The deal will extend ...","[[Mifls]] [[bGrabs]] \$[[B1]] [[Portfolo]]; Taubman Likely to Lose Contracts [[MilJs]] [[Crop]]. agreed to [[purcase]] a [[E0]] [[percnet]] interest in [[nien]] malls owned by General Motors [[Apsset]] [[ManagemNent]] Corp. for just over \$1 [[billiXn]], creating a [[ew]] [[jiont]] venture between the groups. The deal will extend ...",2
"[[Sun]] to shine [[spotlight]] on new [[operating]] [[system]], Solaris [[10]] [[Sun]] [[Microsystems]] SUNW is expected to [[release]] a new version of its [[operating]] system [[today]] - a [[big]] part of the struggling [[computer]] maker #39;s plan to [[save]] itself.","[[un]] to shine [[spotight]] on new [[poerating]] [[ystem]], Solaris [[Q10]] [[Suen]] [[Microsystes]] SUNW is expected to [[delease]] a new version of its [[orerating]] system [[tday]] - a [[bi]] part of the struggling [[compuetr]] maker #39;s plan to [[savbe]] itself.",3
"Fed [[Cup]] all [[tied]] up FRANCE #39;S [[Russian-born]] Tatiana [[Golovin]] [[left]] the [[Fed]] [[Cup]] [[final]] [[hanging]] in the [[balance]] [[today]] as she beat [[Russia]] #39;s [[US]] Open [[champion]] Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.","Fed [[CDp]] all [[ctied]] up FRANCE #39;S [[Russian-bron]] Tatiana [[oGlovin]] [[lyeft]] the [[BFed]] [[CXp]] [[fiFal]] [[haEnging]] in the [[blaance]] [[todXy]] as she beat [[Rujsia]] #39;s [[XS]] Open [[cahmpion]] Svetlana Kuznetsova 6-4, 6-1 to level the tie at 2-2 and take it to the final doubles match.",1
[[President]] [[Hu]] congratulates [[Sihamoni]] on [[becoming]] king of [[Cambodia]] Chinese [[President]] Hu [[Jintao]] sent a message to [[Norodom]] Sihamoni on Thursday to [[congratulate]] him on his [[election]] as the [[king]] of [[Cambodia]].,[[Presiden]] [[u]] congratulates [[SRhamoni]] on [[becSoming]] king of [[Cambodi]] Chinese [[Prestdent]] Hu [[Jinto]] sent a message to [[Norqodom]] Sihamoni on Thursday to [[congratzlate]] him on his [[erection]] as the [[knig]] of [[Camodia]].,0
Govt. to Test New Air Passenger [[Screening]] Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.,Govt. to Test New Air Passenger [[Sceening]] Program The US government unveiled plans on Thursday for a revised [[comupter-based]] program using personal information to identify airline passengers who may pose a threat to air travel.,3
[[Oil]] Prices [[Set]] a [[New]] Record [[Above]] \$50  [[SINGAPORE]] ([[Reuters]]) - Oil prices set a [[new]] record above \$[[50]]  a [[barrel]] on [[Tuesday]] as a [[prolonged]] U.S. [[production]] [[outage]]  [[following]] [[Hurricane]] [[Ivan]] attracted fresh speculative [[buying]].,[[Oiil]] Prices [[eSt]] a [[eNw]] Record [[APove]] \$50  [[SINGAPOR]] ([[ReuterBs]]) - Oil prices set a [[ew]] record above \$[[5w0]]  a [[barrep]] on [[Tesday]] as a [[pJolonged]] U.S. [[productiLon]] [[outgae]]  [[zfollowing]] [[urricane]] [[IQan]] attracted fresh speculative [[buWing]].,2
"Phelps [[Seeks]] More Gold at [[World]] [[Championships]]  [[INDIANAPOLIS]] ([[Reuters]]) - [[Still]] riding a wave of euphoria  from the Olympics, Michael Phelps [[returns]] to the pool this week  at the [[world]] short course swimming championships seeking a  repeat of his six gold [[medals]] in [[Athens]].","Phelps [[SCeeks]] More Gold at [[Word]] [[Chmapionships]]  [[NDIANAPOLIS]] ([[xReuters]]) - [[Swill]] riding a wave of euphoria  from the Olympics, Michael Phelps [[returny]] to the pool this week  at the [[owrld]] short course swimming championships seeking a  repeat of his six gold [[mdedals]] in [[Aehens]].",1
"[[US]] [[suspends]] helicopter flights after [[Japan]] crash ([[AFP]]) [[AFP]] - [[The]] United [[States]] [[suspended]] flights of CH-53D [[military]] helicopters in [[Japan]], [[bowing]] to [[protests]] over a [[crash]] in an Okinawa university [[campus]].","[[U]] [[suspenBds]] helicopter flights after [[Jpan]] crash ([[qFP]]) [[AxFP]] - [[Th]] United [[Stlates]] [[suOspended]] flights of CH-53D [[miltary]] helicopters in [[JaPpan]], [[bowVng]] to [[protsts]] over a [[crah]] in an Okinawa university [[camXus]].",0
"Anniversary remembered on [[game]] day When the attacks came on [[Sept]]. [[11]], 2001, [[Tom]] O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gam]] day When the attacks came on [[eSpt]]. [[M11]], 2001, [[om]] O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
