original_text,perturbed_text,label
"Anniversary remembered on game day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a [[moment]], [[stopped]] being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on game day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a [[moments]], [[remembering]] being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"US suspends helicopter flights after Japan crash (AFP) AFP - The United [[States]] suspended flights of CH-53D military helicopters in Japan, [[bowing]] to protests over a crash in an [[Okinawa]] university campus.","US suspends helicopter flights after Japan crash (AFP) AFP - The United [[countries]] suspended flights of CH-53D military helicopters in Japan, [[causing]] to protests over a crash in an [[emory]] university campus.",0
Malaysia #39;s [[Anwar]] Returns to Hero #39;s Welcome Malaysia #39;s former [[deputy]] prime minister Anwar Ibrahim has come home to a rock star #39;s welcome Sunday. [[He]] [[returned]] from undergoing back surgery in Germany following his release from prison last month.,Malaysia #39;s [[hello]] Returns to Hero #39;s Welcome Malaysia #39;s former [[vice]] prime minister Anwar Ibrahim has come home to a rock star #39;s welcome Sunday. [[she]] [[returns]] from undergoing back surgery in Germany following his release from prison last month.,0
"Report: Israeli army [[mistakenly]] [[kills]] three Egyptian soldiers JERUSALEM A preliminary Israeli army investigation has found that Israeli troops apparently [[killed]] three Egyptian soldiers by mistake, thinking they were Palestinian militants along the [[Gaza-Egypt]] border.","Report: Israeli army [[successfully]] [[engaged]] three Egyptian soldiers JERUSALEM A preliminary Israeli army investigation has found that Israeli troops apparently [[involved]] three Egyptian soldiers by mistake, thinking they were Palestinian militants along the [[border]] border.",0
"Alleged [[U]].[[S]]. [[Deserter]] Set to Surrender TOKYO - Accused U.S. Army [[deserter]] Charles Jenkins left his Tokyo hospital for an [[American]] military base to surrender to military authorities [[Saturday]], nearly 40 years after he allegedly defected to North [[Korea]]...","Alleged [[p]].[[iii]]. [[agent]] Set to Surrender TOKYO - Accused U.S. Army [[recruit]] Charles Jenkins left his Tokyo hospital for an [[actual]] military base to surrender to military authorities [[afterward]], nearly 40 years after he allegedly defected to North [[korea]]...",0
9:22 am: Missing explosives have experts wondering what else is &lt;b&gt;...&lt;/b&gt; Revelations that nearly 400 [[tons]] of conventional explosives have gone missing in Iraq have experts wondering what other weapons might be in jeopardy of falling into [[insurgent]] or terrorist hands.,9:22 am: Missing explosives have experts wondering what else is &lt;b&gt;...&lt;/b&gt; Revelations that nearly 400 [[years]] of conventional explosives have gone missing in Iraq have experts wondering what other weapons might be in jeopardy of falling into [[insurgents]] or terrorist hands.,0
"Abu Ghraib report '[[spreads]] [[blame']] A report on the Abu Ghraib prisoner abuse scandal will blame at least two dozen more people, say US officials.","Abu Ghraib report '[[push]] [[for]] A report on the Abu Ghraib prisoner abuse scandal will blame at least two dozen more people, say US officials.",0
4 French [[schoolgirls]] expelled for wearing [[head]] scarves Two Muslim girls were expelled Wednesday from high school for refusing to remove their head scarf -- the fourth such expulsions in two days as officials began taking action against ,4 French [[schools]] expelled for wearing [[lace]] scarves Two Muslim girls were expelled Wednesday from high school for refusing to remove their head scarf -- the fourth such expulsions in two days as officials began taking action against ,0
"Hurricane Ivan again [[growing]] in strength, Caribbean islands &lt;[[b]]&gt;...&lt;/b&gt; Islanders scrambled to put up storm shutters and buy water as hurricane Ivan churned [[toward]] Barbados just [[days]] after hurricane Frances tore [[across]] the Caribbean and through Florida.","Hurricane Ivan again [[dropped]] in strength, Caribbean islands &lt;[[tb]]&gt;...&lt;/b&gt; Islanders scrambled to put up storm shutters and buy water as hurricane Ivan churned [[between]] Barbados just [[years]] after hurricane Frances tore [[towards]] the Caribbean and through Florida.",0
"Ken Caminiti, Former NL MVP, Dies of Heart Attack at Age 41 Ken Caminiti, the 1996 National League Most Valuable Player who admitted to using steroids during his Major League Baseball [[career]], died yesterday of a heart attack, his agent said.","Ken Caminiti, Former NL MVP, Dies of Heart Attack at Age 41 Ken Caminiti, the 1996 National League Most Valuable Player who admitted to using steroids during his Major League Baseball [[stint]], died yesterday of a heart attack, his agent said.",1
[[ACLU]] Seeks to Challenge Gay Adoption [[Ban]] (AP) AP - The [[American]] Civil Liberties Union asked the Supreme Court on [[Friday]] to hear its challenge to Florida's ban on [[adoptions]] by gays.,[[amendment]] Seeks to Challenge Gay Adoption [[ban]] (AP) AP - The [[california]] Civil Liberties Union asked the Supreme Court on [[occasion]] to hear its challenge to Florida's ban on [[adopting]] by gays.,0
Dutch Film Director [[Theo]] Van Gogh Killed Dutch film director and columnist Theo van Gogh was shot and killed yesterday morning in Amsterdam. The company Gogh owned and worked explained that he was attacked and murdered in the morning at Lineaustraat Street.,Dutch Film Director [[agnes]] Van Gogh Killed Dutch film director and columnist Theo van Gogh was shot and killed yesterday morning in Amsterdam. The company Gogh owned and worked explained that he was attacked and murdered in the morning at Lineaustraat Street.,0
"FEC Elects Chairman, Vice Chairman (AP) AP - The Federal Election Commission on [[Thursday]] elected a new chairman and vice chairman, choosing as its leaders two members who pushed unsuccessfully for tougher limits on partisan political groups.","FEC Elects Chairman, Vice Chairman (AP) AP - The Federal Election Commission on [[issues]] elected a new chairman and vice chairman, choosing as its leaders two members who pushed unsuccessfully for tougher limits on partisan political groups.",0
"Kerry Dispute [[Revives]] Memory of Delta War (AP) AP - The [[controversy]] over the Vietnam war record of Democratic presidential [[candidate]] John Kerry has trained a fresh light on one of that conflict's lesser-known episodes  #151; the operations of America's ""Brown Water Navy"" in rivers, canals and mangrove swamps of the Mekong Delta.","Kerry Dispute [[entitled]] Memory of Delta War (AP) AP - The [[take]] over the Vietnam war record of Democratic presidential [[candidates]] John Kerry has trained a fresh light on one of that conflict's lesser-known episodes  #151; the operations of America's ""Brown Water Navy"" in rivers, canals and mangrove swamps of the Mekong Delta.",0
Sven refuses to criticise Becks Quell surprise: Sven has refused to criticise [[David]] Beckham despite the England captain #39;s latest demonstration of his infamous petulance against [[Wales]].,Sven refuses to criticise Becks Quell surprise: Sven has refused to criticise [[ah]] Beckham despite the England captain #39;s latest demonstration of his infamous petulance against [[britain]].,1
"Van Nistelrooy misses United #39;s last group game in Turkey [[Ruud]] van Nistelrooy will [[miss]] Manchester United #39;s last Champions League Group [[D]] game away to Fenerbahce on Wednesday because of a calf injury, the Premier [[League]] [[club]] said.","Van Nistelrooy misses United #39;s last group game in Turkey [[said]] van Nistelrooy will [[remain]] Manchester United #39;s last Champions League Group [[games]] game away to Fenerbahce on Wednesday because of a calf injury, the Premier [[league]] [[team]] said.",1
"[[Australian]] reporter [[freed]] in Iraq An Australian journalist was seized by militants in [[Iraq]] for nearly 24 hours, but then released unharmed.","[[national]] reporter [[trapped]] in Iraq An Australian journalist was seized by militants in [[iraqi]] for nearly 24 hours, but then released unharmed.",0
"Mother of Jackson Accuser [[Testifies]] SANTA MARIA, Calif. - The mother of the boy accusing Michael Jackson of molestation testified [[Friday]] she does not remember a private investigator telling her that he was working for one of the pop star's attorneys, but believed he worked directly for the singer...","Mother of Jackson Accuser [[son]] SANTA MARIA, Calif. - The mother of the boy accusing Michael Jackson of molestation testified [[say]] she does not remember a private investigator telling her that he was working for one of the pop star's attorneys, but believed he worked directly for the singer...",0
"Miracle in mud! REAL: Philippine [[rescuers]] were yesterday frantically digging for more survivors after four [[people]], including a toddler, were pulled alive from a building [[crushed]] by a landslide 11 days ago.","Miracle in mud! REAL: Philippine [[divers]] were yesterday frantically digging for more survivors after four [[relatives]], including a toddler, were pulled alive from a building [[smashed]] by a landslide 11 days ago.",0
"Death threats on [[film-maker]] #39;s body A LETTER left on the body of a [[Dutch]] filmmmaker murdered in Amsterdam contained death threats against a Dutch politician, the justice [[minister]] said [[today]].","Death threats on [[film]] #39;s body A LETTER left on the body of a [[flemish]] filmmmaker murdered in Amsterdam contained death threats against a Dutch politician, the justice [[ministers]] said [[nothing]].",0
"Phelps faces possible jail term Olympic swimming champion [[Michael]] Phelps may face a jail term after being arrested on [[drink-driving]] charges last week in Salisbury, Maryland.","Phelps faces possible jail term Olympic swimming champion [[chris]] Phelps may face a jail term after being arrested on [[criminal]] charges last week in Salisbury, Maryland.",1
"Mood Mixed Among Darfur [[Rebels]] Ahead of [[Talks]] CORCHA CAMP, Sudan (Reuters) - A Sudanese rebel [[commander]] in a camp in [[Darfur]] tells his troops he is hoping for peace. [[But]] just a few hours march away, young men [[say]] they are convinced Sudan wants to drive them off the [[land]]. ","Mood Mixed Among Darfur [[rebels]] Ahead of [[joe]] CORCHA CAMP, Sudan (Reuters) - A Sudanese rebel [[commandant]] in a camp in [[sudan]] tells his troops he is hoping for peace. [[but]] just a few hours march away, young men [[know]] they are convinced Sudan wants to drive them off the [[spot]]. ",0
"TV war puts tour of India in doubt Australian [[cricket]] chiefs fear a battle over television rights [[could]] cause next month #39;s Test series in India to be cancelled, and last night were seeking clarification from Indian board president ","TV war puts tour of India in doubt Australian [[sports]] chiefs fear a battle over television rights [[can]] cause next month #39;s Test series in India to be cancelled, and last night were seeking clarification from Indian board president ",1
