original_text,perturbed_text,label
"Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the [[Singapore]] [[Airlines]] group.","Singapore govt extends third-party war risk insurance SINGAPORE : The government is extending third-party war risk insurance cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the [[Singɑpore]] [[Aiⲅlines]] group.",2
President [[Hu]] [[congratulates]] [[Sihamoni]] on becoming [[king]] of [[Cambodia]] [[Chinese]] [[President]] Hu [[Jintao]] sent a [[message]] to [[Norodom]] [[Sihamoni]] on Thursday to congratulate him on his election as the king of Cambodia.,President [[Hս]] [[congⲅatulates]] [[Sihaｍoni]] on becoming [[𝒌ing]] of [[Caｍbodia]] [[Chіnese]] [[Presiden𝚝]] Hu [[Jitao]] sent a [[messge]] to [[Norodoｍ]] [[S]] [[ihamoni]] on Thursday to congratulate him on his election as the king of Cambodia.,0
Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[computer-based]] program using personal information to identify airline passengers who may pose a threat to air travel.,Govt. to Test New Air Passenger Screening Program The US government unveiled plans on Thursday for a revised [[computеr-based]] program using personal information to identify airline passengers who may pose a threat to air travel.,3
"US [[suspends]] helicopter flights after [[Japan]] [[crash]] ([[AFP]]) AFP - [[The]] United [[States]] suspended [[flights]] of [[CH-53D]] military [[helicopters]] in Japan, [[bowing]] to [[protests]] over a crash in an Okinawa university campus.","US [[supends]] helicopter flights after [[Jɑpan]] [[cra]] [[sh]] ([[A]] [[FP]]) AFP - [[Te]] United [[Staets]] suspended [[fⅼights]] of [[CH-5ƷD]] military [[helіcopters]] in Japan, [[bow]] [[ing]] to [[pr]] [[otests]] over a crash in an Okinawa university campus.",0
"[[Anniversary]] remembered on [[game]] day When the [[attacks]] came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[coach]]. On that day, as the [[World]] Trade [[Center]] and Pentagon smoldered and the world stood still, O'Brien was a Navy [[man]].","[[Anniverѕary]] remembered on [[gamе]] day When the [[atacks]] came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's [[ϲoach]]. On that day, as the [[Worlԁ]] Trade [[Centеr]] and Pentagon smoldered and the world stood still, O'Brien was a Navy [[m]] [[an]].",1
"Viacom, Disney pay \$1.5M FCC fine [[Disney]] and [[Viacom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable [[television]] networks violated [[advertising]] [[restrictions]], the FCC [[said]] [[Thursday]].","Viacom, Disney pay \$1.5M FCC fine [[Disոey]] and [[Viaocm]] agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s cable [[teⅼevision]] networks violated [[advertsiing]] [[restⲅictions]], the FCC [[saiԁ]] [[Thuⲅsday]].",2
Oracle [[tender]] results out Saturday [[Company]] will report [[preliminary]] count of its \$8.8B hostile [[bid]] for PeopleSoft after 1 am ET. NEW YORK ([[Reuters]]) - [[Oracle]] Corp. said it would report preliminary results of its \$8.8 billion hostile tender offer ,Oracle [[tendeⲅ]] results out Saturday [[Comapny]] will report [[prelіminary]] count of its \$8.8B hostile [[bіd]] for PeopleSoft after 1 am ET. NEW YORK ([[Reuterѕ]]) - [[Oraϲle]] Corp. said it would report preliminary results of its \$8.8 billion hostile tender offer ,2
"[[Lawyers]] In the Limelight By all appearances, Steven Woghin was a lawyer at the top of his game. After years in government service, the former Justice Department attorney had worked his way up to a comfortable six-figure salary and the chief legal job at software maker Computer Associates International Inc.","[[Lawyeⲅs]] In the Limelight By all appearances, Steven Woghin was a lawyer at the top of his game. After years in government service, the former Justice Department attorney had worked his way up to a comfortable six-figure salary and the chief legal job at software maker Computer Associates International Inc.",2
Mexican columnist murdered A [[prominent]] Mexican [[journalist]] known for his [[reports]] on organised  crime is [[killed]] on the US [[border]].,Mexican columnist murdered A [[prоminent]] Mexican [[joսrnalist]] known for his [[repoⲅts]] on organised  crime is [[killd]] on the US [[boredr]].,0
9:22 am: Missing [[explosives]] have [[experts]] [[wondering]] what [[else]] is &lt;b&gt;...&lt;/b&gt; Revelations that nearly 400 tons of conventional explosives have gone missing in [[Iraq]] have experts wondering what other weapons might be in jeopardy of falling into insurgent or terrorist hands.,9:22 am: Missing [[e×plosives]] have [[exper𝚝s]] [[ԝondering]] what [[eⅼse]] is &lt;b&gt;...&lt;/b&gt; Revelations that nearly 400 tons of conventional explosives have gone missing in [[I]] [[raq]] have experts wondering what other weapons might be in jeopardy of falling into insurgent or terrorist hands.,0
"In the E.R., [[Learning]] to Love the PC [[The]] [[keyboard]] is [[mightier]] than the whiteboard at an emergency room in the Bronx, where the use of [[computers]] is now a staple.","In the E.R., [[Learniոg]] to Love the PC [[Te]] [[keybo]] [[ard]] is [[migtier]] than the whiteboard at an emergency room in the Bronx, where the use of [[computes]] is now a staple.",3
Malaysia #39;s [[Anwar]] [[Returns]] to Hero #39;s [[Welcome]] [[Malaysia]] #39;s former deputy [[prime]] [[minister]] [[Anwar]] [[Ibrahim]] has come home to a [[rock]] star #39;s welcome [[Sunday]]. He [[returned]] from undergoing back surgery in Germany following his release from prison last month.,Malaysia #39;s [[Anwaⲅ]] [[Returոs]] to Hero #39;s [[Weⅼcome]] [[Mɑlaysia]] #39;s former deputy [[pime]] [[minіster]] [[Anwɑr]] [[IЬrahim]] has come home to a [[ⲅock]] star #39;s welcome [[Snuday]]. He [[retu]] [[rned]] from undergoing back surgery in Germany following his release from prison last month.,0
"Now It #39;s Official: [[Economy]] Shrunk [[The]] US [[economy]] slowed more sharply in the second quarter than first thought as oil prices [[rose]] and the [[trade]] gap swelled, the government said on [[Friday]] in a [[report]] that [[confirmed]] momentum [[faltered]] in the spring.","Now It #39;s Official: [[Econmy]] Shrunk [[Thе]] US [[ecoomy]] slowed more sharply in the second quarter than first thought as oil prices [[rsoe]] and the [[tradе]] gap swelled, the government said on [[Fridɑy]] in a [[reort]] that [[cofirmed]] momentum [[fatered]] in the spring.",2
