original_text,perturbed_text,label
"Singapore [[govt]] extends third-party war risk [[insurance]] [[SINGAPORE]] : The government is extending [[third-party]] war risk insurance [[cover]] to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the [[Singapore]] [[Airlines]] [[group]].","Singapore [[gLvt]] extends third-party war risk [[insrance]] [[SINGAPOER]] : The government is extending [[thfrd-party]] war risk insurance [[covre]] to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the [[Singapoer]] [[AirlCines]] [[rgoup]].",2
"[[Mills]] [[Grabs]] \$1B [[Portfolio]]; Taubman Likely to [[Lose]] [[Contracts]] Mills Corp. agreed to purchase a 50 percent interest in [[nine]] [[malls]] owned by [[General]] Motors Asset Management Corp. for just over \$1 billion, [[creating]] a new joint venture between the [[groups]]. [[The]] deal will [[extend]] ...","[[Milsl]] [[Grab]] \$1B [[LPortfolio]]; Taubman Likely to [[Los]] [[Cbntracts]] Mills Corp. agreed to purchase a 50 percent interest in [[lnine]] [[alls]] owned by [[GenFral]] Motors Asset Management Corp. for just over \$1 billion, [[creatin]] a new joint venture between the [[grIups]]. [[GThe]] deal will [[Txtend]] ...",2
President [[Hu]] [[congratulates]] [[Sihamoni]] on becoming king of [[Cambodia]] Chinese President [[Hu]] [[Jintao]] sent a [[message]] to [[Norodom]] Sihamoni on Thursday to congratulate him on his election as the king of [[Cambodia]].,President [[H]] [[ctongratulates]] [[SihamoTi]] on becoming king of [[Cambzdia]] Chinese President [[H]] [[iJntao]] sent a [[msesage]] to [[XNorodom]] Sihamoni on Thursday to congratulate him on his election as the king of [[aCmbodia]].,0
"[[Afghans]] rocky [[road]] to [[historic]] [[elections]] [[KALAKAN]], Afghanistan [[There]] were [[toothless]] [[old]] men, turbaned and gray-bearded, and [[young]] [[men]] not [[yet]] old enough to [[shave]]. [[There]] were mullahs and [[mujahedeen]], and the [[presidential]] candidate #39;s 3-year-old son.","[[Afghas]] rocky [[rsoad]] to [[hisworic]] [[eletcions]] [[KALAeAN]], Afghanistan [[Thee]] were [[tootLless]] [[ld]] men, turbaned and gray-bearded, and [[yung]] [[wen]] not [[yeR]] old enough to [[sEhave]]. [[Thee]] were mullahs and [[Zujahedeen]], and the [[presibential]] candidate #39;s 3-year-old son.",0
[[Oil]] Prices Set a New Record Above \$50  [[SINGAPORE]] ([[Reuters]]) - [[Oil]] prices set a new record above \$50  a barrel on [[Tuesday]] as a prolonged U.S. production outage  following Hurricane Ivan attracted fresh speculative buying.,[[IOil]] Prices Set a New Record Above \$50  [[SINGAPRE]] ([[Reuetrs]]) - [[rOil]] prices set a new record above \$50  a barrel on [[Tuedsay]] as a prolonged U.S. production outage  following Hurricane Ivan attracted fresh speculative buying.,2
"Phelps [[Seeks]] More Gold at World Championships  INDIANAPOLIS ([[Reuters]]) - Still riding a wave of euphoria  from the Olympics, Michael Phelps returns to the pool this week  at the [[world]] short [[course]] [[swimming]] [[championships]] seeking a  repeat of his six gold medals in Athens.","Phelps [[SeeRks]] More Gold at World Championships  INDIANAPOLIS ([[ReuEters]]) - Still riding a wave of euphoria  from the Olympics, Michael Phelps returns to the pool this week  at the [[worwld]] short [[coeurse]] [[wimming]] [[champonships]] seeking a  repeat of his six gold medals in Athens.",1
"US [[suspends]] helicopter [[flights]] after Japan crash ([[AFP]]) [[AFP]] - The [[United]] [[States]] [[suspended]] flights of CH-53D military helicopters in [[Japan]], bowing to protests over a crash in an Okinawa university campus.","US [[sGuspends]] helicopter [[flightW]] after Japan crash ([[eAFP]]) [[AiFP]] - The [[IUnited]] [[Sttaes]] [[suspedned]] flights of CH-53D military helicopters in [[JaIan]], bowing to protests over a crash in an Okinawa university campus.",0
"Anniversary remembered on [[game]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.","Anniversary remembered on [[gae]] day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coach. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"[[Viacom]], [[Disney]] [[pay]] \$1.5M FCC [[fine]] Disney and [[Viacom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s [[cable]] television [[networks]] violated [[advertising]] restrictions, the [[FCC]] [[said]] [[Thursday]].","[[Vaicom]], [[Dsney]] [[pya]] \$1.5M FCC [[fien]] Disney and [[iacom]] agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s [[cale]] television [[newtorks]] violated [[adverxtising]] restrictions, the [[FC]] [[asid]] [[Thusrday]].",2
[[Pfizer]] Sends Out [[Update]] On Drug Bextra Pfizer [[Inc]]. [[said]] [[Friday]] that it will provide health-care professionals with additional information about its [[Bextra]] [[arthritis]] [[drug]] and that it will conduct further studies to confirm the drug #[[39]];s [[long-term]] cardiovascular safety [[record]].,[[fizer]] Sends Out [[Uqdate]] On Drug Bextra Pfizer [[ICnc]]. [[sad]] [[Fridya]] that it will provide health-care professionals with additional information about its [[BexXra]] [[arteritis]] [[dug]] and that it will conduct further studies to confirm the drug #[[3y]];s [[log-term]] cardiovascular safety [[rdecord]].,2
