sentence,label
"One of the greatest [[learns]] I ever had in how to watch a movie happened this way: <br /><br />I was working in Roger Corman's offices, like so many other wanabees before and since, I was interning and trying to figure out how it all worked and how to make myself indispensable (hah!). One afternoon Julie Corman, Roger Corman's wife and a producer in her own right, asked me to load up a tape. I'm not sure why she wanted to watch it. I got the impression it was a student film or a show reel, something like that, some sort of calling card. [[Although]] the [[motif]] she had to see it, the only [[devoid]] video machine in the offices at the time happened to be in the room I was working in, and I was the nearest person to the machine. I started the [[gangs]].<br /><br />Fade in: On screen a figure sat at a desk facing the [[chambers]]. Behind him, screen left, was a door that opened into the room. Against the far wall was a coat rack. A second character entered through the [[porte]] and started talking. The first character, the guy at the [[bureau]], [[become]] round to reply, (this is all one [[selected]], static camera, there are no [[declining]] [[cans]] or dolly shots. [[Solo]] one locked off [[house]]). The second character turned to hang his [[sleeve]] on the [[coats]] rack and [[transmitted]] his next line. Julie Corman said ""I've seen enough."" and left the room.<br /><br />What she had seen in the ten [[sec]] of footage she had watched was that the director was an [[dummy]]. Opening with two characters who immediately turned their backs to the camera delivering lines? [[Non]], sorry. Next! That's how long you've got. Ten seconds. Cock it up in the opening shot and you are dead.<br /><br />I was reminded of that moment while I watched the opening of this piece of [[claptrap]]. After an interminably long travelogue of jungle we see several monkeys apparently throwing themselves into cages. A man carrying a gun laughs. A jet liner lands and we see it taxi the whole way to the terminal. God this is [[annoy]]! Cut to the interior of the Airport. Two men meet. Aha! Something is happening! They shake hands. Cut to a different angle of the two men -<br /><br />- and the director crosses the line.<br /><br />The first two shots of the movie that have any kind of spatial relationship with each other and the guy has cocked up. 'Not Crossing The line' is one of those basic rules of movie grammar that keeps the characters from jumping about from side to side on the screen and confusing the audience. Audiences don't like to be confused. Mystified? Baffled? Puzzled and intrigued? Yes. Audiences love all of those. Confused? No. You loose them. They walk out. 'Not Crossing The line' is one of those things they pound into you at film school, or should. It's basic stuff. It's not an inviolable rule (there are no inviolable rules) directors break it all the time - but not on the first real cut of the movie.<br /><br />I thought, ""I've seen enough"". And switched off.",0
"The Comebacks is a spoof on inspirational sports movies, and let me just tell you-it is not a [[guten]] one. Tom Brady (the director) probably found it hilarious that referencing sports films (from Gridiron Gang, Invincible and even Miracle! to The Longest Yard and Dodgeball-yes Dodgeball!) and tossing in a couple of sex jokes, would be the funniest thing since Airplane! Well, he was [[imperfect]]. They did such a slipshod job, you'd thought it was written in a week. I have found it that if a director loves the genre, the movie will be good. Obviously, Brady does not love the genre he is spoofing. [[That]] movie is a [[musty]] piece of [[spurns]] not [[precious]] viewing, so don't see it!",0
"I have a strong feeling that what you think of this film will strongly depend on your frame of reference. If you've never seen a Miyazaki film before, then it will probably confuse the heck out of you. If you have seen a Miyazaki film before, then it will still probably confuse the heck out of you....but you won't really care! That's because I found that the first time I saw one of his animated films, I tried too hard to figure out what was happening and why--and it impacted my enjoyment of the film. Now that I have seen just about every Miyazaki film, I see the bizarreness and just take it all in--enjoying the beauty of it all. In many ways, these films (at least to Western audiences) is like drugs--lots of strange and beautiful images that don't always initially make sense but sure feel great to see!! [[With]] all the [[Hayao]] films, this might have the most unusual and [[indescribable]] story line--even more so than SPIRITED AWAY and PRINCESS MONONOKE or MY NEIGHBOR [[LAPUTA]]. But, like these and many other Studio Gibli films, if you just sit back and watch you are rewarded with a [[peachy]] [[story]]. But, because it is so hard to describe (and others have already done so), I won't even go there.<br /><br />As for the artwork, it's very typical of one of these Japanese films, though there was one noticeable change. There was a very extensive use of what looked like colored pencils for the backgrounds. This was [[NICHT]] a [[sordid]] thing at all--the lovely pastel-like look was very pleasing and unique. In some ways it looked like a tiny bit of [[Invoices]] Plympton's art style was infused into a typical Miyazaki film. With a high frame-rate, exceptional character [[animate]] (which imbued them with tons of personality) and a great ""wow-factor"", this is an exceptional film for all ages. Though clearly designed more for younger audiences (the TOTORO fans especially), it is a bit scary here and there (during the storm segments) but there is plenty of great stuff for adults. As an adult (at least chronologically so), I loved the cute stuff and applaud the other-worldliness of the film.<br /><br />A great film--among Miyazaki's best. I don't give it a 10 because I am hesitant to ever do that--plus I did like a few of the studio's other films a bit more (particularly TOTORO). But that DOESN'T mean you shouldn't rush out now and see it--do it and do yourself a favor.",1
"Alas, another Costner movie that was an hour too long. [[Believable]] performances, but the script had no where to go and was in no hurry to get there. First we are offered an unrelated string of events few of which further the story. Will the [[scenarios]] center on Randall and his wife? Randall and Fischer? How about Fischer and Thomas? In the end, no real front [[conte]] ever develops and the characters themselves are artificially propped up by monologues from third parties. The singer explains Randall, Randall explains Fischer, on and on. Finally, long after you don't care anymore, you [[dedication]] learn something about the script [[confrontations]]. Three endings were no doubt proffered and no one could make a decision. The end result? All three were used, one, after another, after another. If you can hang in past the 100th yawn, you'll be able to pick them out. [[Albeit]] the transparent attempt to [[climbs]] [[dots]] with a [[compromises]] to the Coast Guard, this one should have [[cleanliness]] out the very first day.",0
"This movie is an awesome remake of the [[indigenous]] by the same [[caption]]. The movie was cool,despite the [[doing]], I [[disgust]] new [[person]]! All of the [[casting]] was awesome . It has great [[audition]] and an awesome plot!! The main plot is a man is poisoned and he has to solve his [[possessed]] murder , neat [[umm]]?!Dennis Quaid is the man who is ""D.O.A""(in other words Dead [[Around]] [[Newcomers]]).He [[felt]] help with his friends, but everyone is now a [[dodgy]]!!Dennis's character has several hours to find out who poisoned him. The movie is quite [[briefly]] and full of action. You can see two other [[gargantuan]] stars in Meg Ryan(City [[At]] Angels,[[Undaunted]] [[During]] [[Extinguisher]]) and Daniel [[Backseat]](Home Alone, Very Bad [[Ingredients]],[[Hightailed]]) in supporting [[function]] in this awesome ,cool remake of a classic movie!!",1
"In this [[moment]] when almost everything makes it on to DVD (I'm expecting to see the My Mother the Car collection any day now) this film has been unfairly [[neglects]]. There are innumerable stupid comedies from the 60's as well as many other eras that have received at least a cursory DVD treatment. This one wasn't even released on VHS to my knowledge, despite the talents involved in the making (Arthur Hiller, Eli Wallach, Anne Jackson, Murray Shisgal (notable later for co-writing Tootsie), even Dustin Hoffman in his debut). It's obviously a product of the sixties but so is just about everything else from that era. All films reflect the tastes and customs of the times in which they are made. This was released the same year as The President's Analyst, another absurd masterpiece. That film was finally released on DVD and has developed a cult following. This film has many memorable bizarre, goofy, wacky moments. Sure, it's painted in broad strokes and has silly go-go music throughout but that's part of its charm. It creates its own absurd universe. If whoever is in charge of DVD production for Columbia Pictures releases (I believe Columbia released it) takes polls for new releases this gets my vote.",1
"Irwin Allen put all his talents behind this one: he's co-screenwriter, producer and director of this cartoonish ""epic"" about an atomic submarine and its efforts to reduce a ring of radiation circling the Earth. Potentially exciting story [[lacks]] to take off, despite an eclectic cast. Varied players from Walter Pigeon and Joan Fontaine to Frankie Avalon and Barbara Eden are interestingly intermingled and provide a dash of color, but this [[moist]] sci-fi is pretty cheesy. Good for a few stray laughs, but Allen didn't seem to know the difference between strong, solid adventure and campy nonsense. Later a popular TV series. ** from ****",0
"I saw the film yesterday and stopped it at half time because I felt it was a waste of time. The [[brainchild]] to make a film through the eyes of a headsman - one of the ""evil guys"" throughout most fantasy and medieval films - is great and offers plenty of [[odds]] but... the [[theaters]] couldn't catch one of them. I was not feeling for any of the characters, the plot was all too [[predict]] (to the point that I followed it)and the second leap of time in the storyline made me quit. Those who expect a deep insight into the emotional situation of a headsman in the middle Ages, a social outcast to that time, might be disappointed.",0
"[[These]] [[film]] [[holds]] got to be the biggest [[disillusionment]] I've ever [[witnessed]] with a [[movie]]. The acting is horrific, the [[awaiting]] [[engender]] up [[little]], and the [[conspiring]] [[fullest]] is [[senseless]]. [[me]] found myself rooting for the [[victims]] to just [[rush]] up and [[is]] a [[victims]], [[for]] she [[visibly]] [[forced]] to be [[brought]] out of her [[pain]]. [[Everyone]] with [[untreated]] [[knowing]] of how the world [[trabajo]] [[go]] immediately [[got]] [[horrified]] at the leaps we're [[demands]] to make in [[reasoning]], and the so-called [[enigmatic]] [[accumulation]] would [[represent]] lucky to [[getting]] a 3 year [[previous]] to [[is]] [[somewhat]] [[leery]]. I'm [[enraged]] that a sequel is [[prophesied]], because it [[ways]] they'll [[come]] asking us to once again [[digest]] a sub [[fer]] plot line. [[Albeit]] this is an example of Raw Feed's [[works]], [[me]] think I'll [[ser]] [[avoided]] any and all [[subsequent]] films by them.",0
"Not since ""8 Heads in a Duffel Bag"" and the ""How High"" previews<br /><br />[[has]] I laughed [[yet]] little at something that the film makers thought<br /><br />would be hysterical.<br /><br />Jerry Lewis is the richest man in the world. [[It]] is [[dismissed]] as 4-F<br /><br />by the army, and [[choices]] to use his money to raise his own army-<br /><br />of about half a [[twelve]]. [[His]] then impersonates a Nazi [[boss]] in<br /><br />[[Venice]], and [[thereafter]] tries to kill [[Adolph]]. [[This]] is the description of the<br /><br />flimsy [[parcels]].<br /><br />This film is as funny as a [[essence]] [[strikes]]. This film [[is]] ""Hogan's<br /><br />Heroes"" [[consider]] like Shakespeare. [[Though]] the [[finances]] [[sexes]] of ""[[Both]]<[[ab]] /><br />[[Manufacturing]]"" [[have]] [[effectively]] [[wishing]] to [[squandering]] their [[money]], they [[expected]] [[ai]]<br /><br />[[illustrates]] this film. [[me]] cannot stress how [[unfavorable]] this thing is.<br /><br />Lewis' direction consists of two different cameras shooting the<br /><br />action from two different angles, then being edited together. This<br /><br />sitcom type of direction works on television, but here it is an<br /><br />obvious attempt to cheat the audience. He ends most of his<br /><br />scenes with a still shot, as if giving the viewer a chance to double<br /><br />over in stitches before going to the next tired [[establishment]] up. I spent most of<br /><br />the movie doubled over in abdominal agony, accompanied with<br /><br />severe flatulence, over this thing.<br /><br />Lewis, the director and producer, sets the film in 1943, but makes<br /><br />no attempt to use period costumes or sets. Everyone wears the<br /><br />latest style and has the latest interior design...for 1970. The<br /><br />supporting cast is lost as Lewis goes off on his patented tangents,<br /><br />which last as long as major surgery and are just as painful to<br /><br />watch. When Lewis becomes the Nazi commander, he spends the<br /><br />last half of the film screaming at the top of his lungs in a<br /><br />performance so odious as to stink up any good will you try to bring<br /><br />in at the beginning.<br /><br />The final embarassing shot has Lewis and his cronies trying to<br /><br />put one over on the Japanese. They wear buck teeth, squint their<br /><br />eyes, and talk in a ""funny"" accent. It may be one of the most<br /><br />blatantly racist occurrences since the internment camps. I was<br /><br />slack jawed at what Lewis did through this whole thing, but that put<br /><br />me over the edge. Watch for Kaye Ballard's very tasteless scene<br /><br />where she tries to attempt suicide over and over again.<br /><br />""Star Trek""'s George Takei has two small scenes, then wisely<br /><br />drops out of the picture. This has less laughs than Mel Brooks' last<br /><br />three films combined. There is nothing sadder than watching a<br /><br />formerly respected comedian screw up a project so horribly, you<br /><br />actually feel ashamed for them. Jim Carrey learned that with ""The<br /><br />Majestic,"" but Jerry Lewis still shows up on television once in a<br /><br />while pulling the same unfunny schtick. I feel sorry for him.<br /><br />""Which Way to the Front?"" is cheap, unfunny, offensive, and stupid.<br /><br />I feel bad for everyone involved, and anyone who must endure this.<br /><br />I do not recommend it.<br /><br />Though rated (G), this contains some physical violence, some gun<br /><br />violence, and some adult situations. If your child shows interest in<br /><br />seeing this, please consult professional help.<br /><br />",0
