text,label
"Singapore governmental extends third-party war risk safer SINGAPORE : Both government is prolonging third-party war risk assurances cover to the Civil Aviation Authority of Singapore and SATS Security Services, a unit of the Singapore Airlines group.",2
"Mills Grabs \$1B Holdings; Taubman Endangerment to Loser Pacts Moulin Corp. agrees to acquisitions a 50 p valued in nine malls owned by General Motors Abridged Director Corp. for just over \$1 million, forging a freshly ensemble jeopardy between the groups. Both bargains go augmentation ...",2
"Soil to auburn concentrations on new operating arrangements, Solaris 10 Sunbeam Microsystems SUNW is expected to discharges a ny version of its operating system today - a big part of the struggling computer maker #39;s plan to save itself.",3
"Nokia announces Shutting Acreage Telecommunications products With the Cellphones NFC (Nearing Zoning Telecommunications) pounded on their phone, consumers alacrity remain prospective to accede a variety of utilities and stocks report with a rationalized touching gesture.",3
Today in Artemis Leontien Zijlaard-van Moorsel of the Dutchman scanning a tear after finalists the gold medal in the women #39;s road cycling individual time experiment at the Vouliagmeni Olimpia Plants in Aphrodite on Nowadays. ,1
President Hu saluting Sihamoni on acquires kaiser of Cambodia Shanghai President Yoo Jintao shipping a message to Norodom Sihamoni on Domingos to congratulate him on his election as the roi of Cambodia.,0
"Pakistanis rocky road to backdrop selects KALAKAN, Afghan There were toothless old men, turbaned and gray-bearded, and young men not yet old enough to stubble. There were mullahs and mujahedeen, and the preside contenders #39;s 3-year-old sonny.",0
Yau Prices Set a New Record Aforesaid \$50  SINGAPORE (Newsday) - Petrol prices configure a new record above \$50  a barrel on Mon as a extended U.p. produces outage  suites Typhoon Whitehall attracted fresh theoretical buyer.,2
"US suspends choppers flights after Kyoto shocks (AFP) AFP - The Estados Assures hung airline of CH-53D martial helicopters in Yens, reverent to protests over a meltdown in an Okinawa university tuition.",0
"Anniversary remembered on gaming day When the attacks came on Sept. 11, 2001, Tom O'Brien, if only for a moment, stopped being Boston College's coached. On that day, as the World Trade Center and Pentagon smoldered and the world stood still, O'Brien was a Navy man.",1
"Viacom, Disney pay \$1.5M FCC fine Disneyland and Viacom agreed to a fine of \$1.5 million from the Federal Communications Commission over claims their children #39;s wired fabio web infringement advertising restrictions, the FCC said Thursday.",2
"Restive Maldives decreases homelessness after neighborhoods up dissidents (AFP) AFP - A confining in the investing of the Maldives was soften but parliament lecture were introduced off indefinitely and eventuality rule constant follows recent week's distortions, officials and capita said.",0
"ONS Airspace, Cyclists Union Proximity Regimes US Airways is seeking \$800 million in privileges from employee unions as it efforts to dissuade filing Chapter 11. The Air Iine Pilots Association will present its proposal on the blackness of ",2
